date,company,자본총계,자산총계,단기매입채무,부채총계,유동부채,유동자산,재고자산,장기매입채무및기타채무,매출채권,매입채무,매입채무 및 미지급금,매출채권 및 수취채권,장기성매출채권,매입채무및기타채무,매출채권및기타채권,매출채권및계약자산,장기매출채권,장기매입채무,매입채무 및 기타채무,매출채권 및 기타채권
20191231,제우스,228826484204.0,381353567601.0,,152527083397.0,133192763056.0,245969680408.0,113968672851.0,,,,,,,,,,,,51666673165.0,64016859282.0
20181231,제우스,214612467282.0,402378728580.0,,187766261298.0,165987856882.0,278686496227.0,126490722951.0,,,,,,,,,,,,56653672378.0,78109838503.0
20171231,제우스,183722269445.0,337919035331.0,,154196765886.0,131868038448.0,221688599323.0,93419040406.0,,,,,,,,,,,,57775376915.0,54840842708.0
20191231,조아제약,51749149125.0,86742091153.0,3497774077.0,34992942028.0,23382433872.0,53801503447.0,9142950460.0,,,,,,,,,,,,,
20181231,조아제약,52909128456.0,84040798181.0,2437230561.0,31131669725.0,24327773813.0,53438139411.0,9205301572.0,,,,,,,,,,,,,
20171231,조아제약,53184873185.0,83518178100.0,2651843018.0,30333304915.0,16497446304.0,52746012089.0,9101349517.0,,,,,,,,,,,,,
20191231,코디엠,71963923403.0,117030999241.0,,45067075838.0,43164570315.0,22953172998.0,5191372860.0,,,,,,,,,,,,,
20181231,코디엠,56410617006.0,93910821727.0,,37500204721.0,37443176826.0,41411536151.0,2123335351.0,,,,,,,,,,,,,
20171231,코디엠,55282274350.0,60951342863.0,,5669068513.0,5532832699.0,27965405638.0,4541735597.0,,,,,,,,,,,,,
20191231,톱텍,341862812015.0,451010685889.0,,109147873874.0,107059072116.0,275113836337.0,60226089376.0,,,,,,,,,,,,,
20181231,톱텍,343847522619.0,392793260017.0,,48945737398.0,43622028025.0,284796131539.0,22227254843.0,,,,,,,,,,,,,
20171231,톱텍,327411093181.0,445178864294.0,,117767771113.0,109316843705.0,350687949863.0,29323717595.0,,,,,,,,,,,,,
20191231,파커스,82702280980.0,117947378909.0,,35245097929.0,24061944253.0,65564770182.0,8556851910.0,,,,,,,,,,,,,
20181231,파커스,93602193817.0,120125782119.0,,26523588302.0,26523588302.0,81861160795.0,11084600428.0,,,,,,,,,,,,,
20171231,파커스,89349148507.0,118886918315.0,,29537769808.0,16341066455.0,91191698208.0,11721845235.0,,,,,,,,,,,,,
