번호,회사명,종목코드,폐지일자,폐지사유,비고
1147,코리아01호,090970,2017-04-25,감사의견 의견거절,
1146,코리아02호,090980,2017-04-25,감사의견 의견거절,
1145,코리아04호,091000,2017-04-25,감사의견 의견거절,
1144,넥솔론,110570,2017-04-17,자본전액잠식,
1143,우전,052270,2017-04-13,자본전액잠식 등,
1142,SY이노베이션,194860,2017-04-12,감사의견 거절(감사범위제한),
1141,이엘피,063760,2017-04-06,코스닥시장 이전상장,이엘피
1140,한솔아트원제지,007190,2017-03-15,해산 사유 발생,
1139,케이엔씨글로벌,068150,2017-03-07,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,
1138,한진해운,117930,2017-03-07,해산 사유 발생,
1137,SK컴즈,066270,2017-02-27,상장폐지신청('17.02.07),
1136,프리젠,060910,2017-02-24,최근 5사업연도 연속 영업손실 발생,
1135,한주금속,198940,2017-02-21,상장폐지 신청('17.1.18),
1134,미래에셋증권,037620,2017-01-20,해산 사유 발생,
1133,씨아이에스,144630,2017-01-20,피흡수합병,
1132,LG생명과학,068870,2017-01-17,해산 사유 발생,
1131,하이골드2호,139200,2017-01-11,신청에 의한 상장폐지,
1130,신성이엔지,104110,2017-01-02,해산 사유 발생,
1129,신성에프에이,104120,2017-01-02,해산 사유 발생,
1128,나이코,192240,2016-12-23,상장폐지 신청('16.12.9),
1127,코썬바이오,204990,2016-12-09,코스닥시장 이전상장,
1126,유니온커뮤니티,203450,2016-12-07,코스닥시장 이전상장,유니온커뮤니티
1125,솔트웍스,222520,2016-12-05,피흡수합병,
1124,이푸른,185280,2016-12-05,지정자문인 선임계약 해지 후 30일이내 미체결(2016.11.21限),
1123,퓨쳐켐,220100,2016-12-01,코스닥시장 이전상장,퓨쳐켐
1122,엘앤케이바이오,156100,2016-11-30,코스닥시장 이전상장,엘앤케이바이오
1121,핸디소프트,220180,2016-11-24,코스닥시장 이전상장,핸디소프트
1120,현대페인트,011720,2016-11-21,감사의견 의견거절,
1119,KB증권,003450,2016-11-01,지주회사(최대주주등)의 완전자회사화 등,
1118,아이팩토리,053810,2016-09-19,감사의견 거절(감사범위 제한 및 기업회계기준 위배),
1117,씨엘인터내셔널,037340,2016-09-08,2반기 연속 자본잠식률 50% 이상,
1116,엠제이비,074150,2016-09-05,감사의견거절(감사범위 제한),
1115,부산방직,025270,2016-08-18,피흡수합병,
1114,태림페이퍼,019300,2016-08-11,신청에 의한 상장폐지,
1113,디와이엘엔제이,207230,2016-07-26,지정자문인 선임계약의 해지한 날의 다음날부터 30일이내(2016.07.12限) 지정자문인 선임계약 미체결,
1112,피엘에이,082390,2016-07-25,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,
1111,아이에이네트웍스,123010,2016-07-20,코스닥시장 이전상장,아이에이네트웍스
1110,동서,026960,2016-07-15,유가증권시장 상장,동서
1109,에이치앤아이,103650,2016-07-14,최종부도 발생,
1108,한국토지신탁,034830,2016-07-11,유가증권시장 상장,한국토지신탁
1107,바이오리더스,142760,2016-07-07,코스닥시장 이전상장,바이오리더스
1106,비지스틸,179440,2016-07-07,상장폐지 신청('16.6.14),
1105,정다운,224090,2016-06-29,피흡수합병,
1104,알엔투테크놀로지,148250,2016-06-22,코스닥시장 이전상장,알엔투테크놀로지
1103,바다로3호,092630,2016-06-13,신청에 의한 상장폐지,
1102,경남에너지,008020,2016-05-19,신청에 의한 상장폐지,
1101,티이씨코,008900,2016-05-17,해산 사유 발생,
1100,제이앤유글로벌,086200,2016-05-09,감사의견거절(감사범위 제한),
1099,오상헬스케어,036220,2016-05-09,감사의견 거절(감사범위 제한으로 인한 의견거절),
1098,아이디에스,078780,2016-04-28,'14사업연도 자본잠식률 50%이상 사유로 관리종목 지정 후 '15사업연도 반기 감사의견 거절,
1097,삼목강업,158380,2016-04-21,피흡수합병,
1096,포스코플랜텍,051310,2016-04-15,자본전액잠식,
1095,플렉스컴,065270,2016-04-12,자본전액잠식,
1094,닉스테크,063840,2016-04-12,피흡수합병,
1093,한화화인케미칼,025850,2016-03-15,해산 사유 발생,
1092,테라텍,151750,2016-02-23,상장폐지 신청('16.02.01),
1091,승화프리텍,111610,2016-01-25,"기업의 계속성, 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
1090,삼양제넥스,003940,2016-01-21,해산 사유 발생,
1089,예스티,122640,2015-12-16,코스닥시장 이전상장,예스티
1088,리드,197210,2015-11-20,코스닥시장 이전상장,
1087,캔서롭,180400,2015-11-20,코스닥시장 이전상장,캔서롭
1086,매직마이크로,127160,2015-11-19,코스닥시장 이전상장,매직마이크로
1085,아이진,185490,2015-11-16,코스닥시장 이전상장,아이진
1084,평산차업,950010,2015-11-05,시가총액 미달,
1083,엑시콘,092870,2015-10-22,코스닥시장 이전상장,엑시콘
1082,코크렙15호,121550,2015-10-16,매출액 미달(50억원 미만) 2년 계속,
1081,GT&T,053870,2015-10-15,'14사업연도 자본잠식률 50%이상 사유로 관리종목 지정 후 '15사업연도 반기 감사의견 거절,
1080,프렉코,082220,2015-09-25,지정자문인 선임계약의 해지한 날의 다음날부터 30일이내(2015.09.11限) 지정자문인 선임계약 미체결,
1079,KCW,068060,2015-09-18,"기업의 계속성, 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
