"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20160101-20160630,20150101-20151231,20150101-20150630,20140101-20141231,20130101-20131231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_PurchaseOfInvestmentsAccountedForUsingEquityMethod,프로젝트투자자산의 취득,Purchase of investments accounted for using equity method,현금흐름표 [abstract],투자활동현금흐름,프로젝트투자자산의 취득,,,100000000.0,,1000000000.0,1200000000.0
dart_PurchaseOfInvestmentsInAssociates,관계기업에 대한 투자자산의 취득,Purchase of investments in associates,현금흐름표 [abstract],투자활동현금흐름,관계기업에 대한 투자자산의 취득,,,5010000000.0,,9375000.0,241339968.0
ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,,-557674746.0,1279571405.0,-38329152.0,172310783.0,381380333.0
entity00122339_udf_CF_2016328193632394_CashFlowsFromUsedInInvestingActivities,투자부동산,NEWAccount for Cash flows from (used in) investing activities (10),현금흐름표 [abstract],투자활동현금흐름,투자부동산,,,4675222087.0,,,
ifrs_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,,-875431010.0,1056086899.0,-997680000.0,1653002073.0,432836479.0
entity00122339_udf_CF_2013321181932943_CashFlowsFromUsedInInvestingActivities,단기대여금의 증가,NEWAccount for Cash flows from (used in) investing activities (3),현금흐름표 [abstract],투자활동현금흐름,단기대여금의 증가,,-338136650.0,2594442650.0,-601758306.0,1822858347.0,
entity00122339_udf_CF_2016328193549113_CashFlowsFromUsedInInvestingActivities,장기대여금의 증가,NEWAccount for Cash flows from (used in) investing activities (9),현금흐름표 [abstract],투자활동현금흐름,장기대여금의 증가,,,3000000000.0,,,
dart_IncreaseInGuaranteeDeposits,보증금의 증가,Increase in guarantee deposits                                                                       ,현금흐름표 [abstract],투자활동현금흐름,보증금의 증가,,-75429512.0,605282807.0,-344639419.0,340116205.0,1725089673.0
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품 취득,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품 취득,,-13125584240.0,10582456297.0,-4761190944.0,19136411.0,38834110.0
entity00122339_udf_CF_2013321181959552_CashFlowsFromUsedInInvestingActivities,단기매매증권 취득,NEWAccount for Cash flows from (used in) investing activities (4),현금흐름표 [abstract],투자활동현금흐름,단기매매증권 취득,,,,,225953300.0,1343038415.0
