"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,,46136363.0,30818180.0,2583583862.0
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 처분,,,,122830934.0
dart_PurchaseOfInvestmentsAccountedForUsingEquityMethod,지분법적용 투자지분의 취득,Purchase of investments accounted for using equity method,현금흐름표 [abstract],투자활동현금흐름,지분법적용 투자지분의 취득,,,-663640000.0,
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 취득,,10351745766.0,322589711780.0,195025594728.0
dart_IncreaseInGuaranteeDeposits,임차보증금의 증가,Increase in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,임차보증금의 증가,,41271948.0,20858729.0,185374762.0
dart_IncreaseInLoans,대여금의 증가,Increase in loans,현금흐름표 [abstract],투자활동현금흐름,대여금의 증가,,,50000000.0,170000000.0
dart_PurchaseOfNonCurrentFairValueFinancialAsset,비유동당기손익인식금융자산의 취득,Purchase of non-current fair value financial asset,현금흐름표 [abstract],투자활동현금흐름,비유동당기손익인식금융자산의 취득,,,100778375.0,
dart_PurchaseOfInvestmentsInAssociates,관계기업에 대한 투자자산의 취득,Purchase of investments in associates,현금흐름표 [abstract],투자활동현금흐름,관계기업에 대한 투자자산의 취득,,,100000000.0,
dart_PurchaseOfFairValueFinancialAsset,당기손익인식금융자산의 취득,Purchase of fair value financial asset,현금흐름표 [abstract],투자활동현금흐름,당기손익인식금융자산의 취득,,,,5306609880.0
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,,486957647.0,1391457644.0,951168077.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,,51246156.0,175194759.0,162970444.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,,-12988270469.0,-10533022627.0,1314444988.0
dart_ProceedsFromExerciseOfShareOptions,주식선택권행사로 인한 현금유입,Proceeds from exercise of share options,현금흐름표 [abstract],재무활동현금흐름,주식선택권행사로 인한 현금유입,,144192000.0,-4915232026.0,5862675000.0
ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsFinancingActivities,정부보조금의 수취,Proceeds from government grants,현금흐름표 [abstract],재무활동현금흐름,정부보조금의 수취,,263870000.0,66000000.0,152898738.0
dart_RepaymentForGovernmentGrantsClassifiedAsFinancingActivities,정부보조금의 상환,Repayment for government grants classified as financing activities,현금흐름표 [abstract],재무활동현금흐름,정부보조금의 상환,,,1895750000.0,30164550.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,,5000000000.0,3788040601.0,1069218000.0
entity00442145_udf_CF_201872613457102_CashFlowsFromUsedInFinancingActivities,유동성장기미지급금의 상환,Repayment Current Portion of Long-term Non-trade Payables,현금흐름표 [abstract],재무활동현금흐름,유동성장기미지급금의 상환,,,,746400000.0
entity00442145_udf_CF_2019102614395340_CashFlowsFromUsedInFinancingActivities,장기리스부채의 상환,Repayment of long-term lease liabilities,현금흐름표 [abstract],재무활동현금흐름,장기리스부채의 상환,,531693579.0,,
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동현금흐름,자기주식의 취득,,4986816090.0,,
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,Dividends paid,현금흐름표 [abstract],재무활동현금흐름,배당금지급,,2877822800.0,,2855346200.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,,8074229888.0,-29901639564.0,26428845039.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,,10444974770.0,41777350474.0,15729502736.0
entity00442145_udf_CF_20191026144042524_StatementOfCashFlowsAbstract,외화현금및현금성자산의 환율변동효과,exchange rate changes cash and cash equivalents,현금흐름표 [abstract],외화현금및현금성자산의 환율변동효과,,,52203972.0,3503860.0,-380997301.0
entity00442145_udf_CF_2020316134520819_StatementOfCashFlowsAbstract,종속기업취득으로 인한 현금의 유출,Cash outflow from acquisition of subsidiary,현금흐름표 [abstract],종속기업취득으로 인한 현금의 유출,,,,-1434240000.0,
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,,18571408630.0,10444974770.0,41777350474.0
