"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00625942_udf_CF_2019111015859267_udf_CF_2019111015535167_CashFlowsFromUsedInInvestingActivities,파생상품의 처분,Disposition of derivatives,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,파생상품의 처분,,20800000.0,
entity00625942_udf_CF_2019111015926446_udf_CF_2019111015535167_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치측정금융자산의 처분,Disposition of fair value measurement financial assets through other comprehensive,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,기타포괄손익-공정가치측정금융자산의 처분,40048200.0,,
entity00625942_udf_CF_2020321201844961_udf_CF_2019111015535167_CashFlowsFromUsedInInvestingActivities,수익증권의 처분,Disposition of beneficiary certificates,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,수익증권의 처분,218474146.0,,
entity00625942_udf_CF_2019111015105588_udf_CF_2019111015535167_CashFlowsFromUsedInInvestingActivities,매각예정자산의 처분,Disposal of assets held for sale,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,매각예정자산의 처분,3207400000.0,,
entity00625942_udf_CF_2020321201949209_udf_CF_2019111015535167_CashFlowsFromUsedInInvestingActivities,장기금융상품의 감소,Decrease in long-term financial instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,장기금융상품의 감소,3220136713.0,,
entity00625942_udf_CF_201911101565259_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금유출액,Cash outflow due to investment activity,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유출액,,5901336904.0,23539428913.0,19471922048.0
entity00625942_udf_CF_2019111015119234_udf_CF_201911101565259_CashFlowsFromUsedInInvestingActivities,단기금융상품의 증가,Increase of short-term Financial instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유출액,단기금융상품의 증가,1420580764.0,,548844212.0
entity00625942_udf_CF_20191110151127134_udf_CF_201911101565259_CashFlowsFromUsedInInvestingActivities,장기금융상품의 증가,Increase of long-term Financial instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유출액,장기금융상품의 증가,1214553627.0,1582953576.0,1010304028.0
entity00625942_udf_CF_20191110151151688_udf_CF_201911101565259_CashFlowsFromUsedInInvestingActivities,보증금의 증가,Increase of guaranty money,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유출액,보증금의 증가,53669010.0,1978364000.0,489188000.0
entity00625942_udf_CF_2019111015122634_udf_CF_201911101565259_CashFlowsFromUsedInInvestingActivities,단기대여금의 증가,increase of short-term loans,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유출액,단기대여금의 증가,,486000000.0,
entity00625942_udf_CF_20191110151213698_udf_CF_201911101565259_CashFlowsFromUsedInInvestingActivities,유형자산의 취득,Acquisition of tangible assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유출액,유형자산의 취득,2706691820.0,18654351328.0,17115934967.0
entity00625942_udf_CF_20191110151230475_udf_CF_201911101565259_CashFlowsFromUsedInInvestingActivities,무형자산의 취득,Acquisition of intangible assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유출액,무형자산의 취득,396101683.0,530159210.0,307650841.0
entity00625942_udf_CF_20191110151251417_udf_CF_201911101565259_CashFlowsFromUsedInInvestingActivities,파생상품의 처분,Disposal of Derivatives,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유출액,파생상품의 처분,109740000.0,,
entity00625942_udf_CF_2020321202253515_udf_CF_201911101565259_CashFlowsFromUsedInInvestingActivities,수익증권의 취득,Acquisition of beneficiary certificates,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유출액,수익증권의 취득,,199600799.0,
entity00625942_udf_CF_2020321202320349_udf_CF_201911101565259_CashFlowsFromUsedInInvestingActivities,상각후측정유가증권의 취득,Acquisition of securities measured after amortization,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유출액,상각후측정유가증권의 취득,,108000000.0,
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동으로 이한 현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동으로 이한 현금흐름,,,-4774006411.0,5418161527.0,28956826278.0
entity00625942_udf_CF_2019111015162876_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금유입액,Cash inflows from (used in) financing activities,현금흐름표 [abstract],재무활동으로 이한 현금흐름,재무활동으로 인한 현금유입액,,30630500000.0,64090701588.0,93348127381.0
entity00625942_udf_CF_20191110151624300_udf_CF_2019111015162876_CashFlowsFromUsedInFinancingActivities,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동으로 이한 현금흐름,재무활동으로 인한 현금유입액,단기차입금의 증가,8130500000.0,35622000000.0,42737919645.0
entity00625942_udf_CF_20191110151638563_udf_CF_2019111015162876_CashFlowsFromUsedInFinancingActivities,장기차입금의 증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동으로 이한 현금흐름,재무활동으로 인한 현금유입액,장기차입금의 증가,10500000000.0,25457001588.0,15200000000.0
entity00625942_udf_CF_20191110151650488_udf_CF_2019111015162876_CashFlowsFromUsedInFinancingActivities,임대보증금의 증가,Increase of Leasehold Deposits Received,현금흐름표 [abstract],재무활동으로 이한 현금흐름,재무활동으로 인한 현금유입액,임대보증금의 증가,,11700000.0,7810000.0
entity00625942_udf_CF_20191110151715342_udf_CF_2019111015162876_CashFlowsFromUsedInFinancingActivities,사채의 증가,Issuance of bonds,현금흐름표 [abstract],재무활동으로 이한 현금흐름,재무활동으로 인한 현금유입액,사채의 증가,12000000000.0,3000000000.0,5000000000.0
entity00625942_udf_CF_202032120471510_udf_CF_2019111015162876_CashFlowsFromUsedInFinancingActivities,금융리스부채의 증가,Proceeds from Capital Lease Liabilities,현금흐름표 [abstract],재무활동으로 이한 현금흐름,재무활동으로 인한 현금유입액,금융리스부채의 증가,,,1032169500.0
entity00625942_udf_CF_202032120488743_udf_CF_2019111015162876_CashFlowsFromUsedInFinancingActivities,유상증자,capital increase with consideration,현금흐름표 [abstract],재무활동으로 이한 현금흐름,재무활동으로 인한 현금유입액,유상증자,,,29370228236.0
entity00625942_udf_CF_20191110151827568_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금유출액,Cash outflows from (used in) financing activities,현금흐름표 [abstract],재무활동으로 이한 현금흐름,재무활동으로 인한 현금유출액,,35404506411.0,58672540061.0,64391301103.0
entity00625942_udf_CF_20191110151847258_udf_CF_20191110151827568_CashFlowsFromUsedInFinancingActivities,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동으로 이한 현금흐름,재무활동으로 인한 현금유출액,단기차입금의 상환,15079991800.0,32794510200.0,27633686406.0
entity00625942_udf_CF_2019111015193513_udf_CF_20191110151827568_CashFlowsFromUsedInFinancingActivities,유동성장기부채의 상환,Reimbursement of fluidity long-term debt,현금흐름표 [abstract],재무활동으로 이한 현금흐름,재무활동으로 인한 현금유출액,유동성장기부채의 상환,13359046681.0,7699920000.0,20149920000.0
